"Ano	Estado	Mês	Número	Período"
"2016	Paraíba	Março	1	01/01/2016"
"2017	Paraíba	Março	2	01/01/2017"
"1998	Paraíba	Abril	0	01/01/1998"
"1999	Paraíba	Abril	3	01/01/1999"
"2000	Paraíba	Abril	1	01/01/2000"
"2001	Paraíba	Abril	0	01/01/2001"
"2002	Paraíba	Abril	1	01/01/2002"
"2003	Paraíba	Abril	0	01/01/2003"
"2004	Paraíba	Abril	3	01/01/2004"
"2005	Paraíba	Abril	2	01/01/2005"
"2006	Paraíba	Abril	0	01/01/2006"
"2007	Paraíba	Abril	0	01/01/2007"
"2008	Paraíba	Abril	0	01/01/2008"
"2009	Paraíba	Abril	1	01/01/2009"
"2010	Paraíba	Abril	2	01/01/2010"
"2011	Paraíba	Abril	2	01/01/2011"
"2012	Paraíba	Abril	13	01/01/2012"
"2013	Paraíba	Abril	6	01/01/2013"
"2014	Paraíba	Abril	8	01/01/2014"
"2015	Paraíba	Abril	11	01/01/2015"
"2016	Paraíba	Abril	1	01/01/2016"
"2017	Paraíba	Abril	1	01/01/2017"
"1998	Paraíba	Maio	0	01/01/1998"
"1999	Paraíba	Maio	0	01/01/1999"
"2000	Paraíba	Maio	0	01/01/2000"
"2001	Paraíba	Maio	4	01/01/2001"
"2002	Paraíba	Maio	1	01/01/2002"
"2003	Paraíba	Maio	0	01/01/2003"
"2004	Paraíba	Maio	1	01/01/2004"
"2005	Paraíba	Maio	0	01/01/2005"
"2006	Paraíba	Maio	0	01/01/2006"
"2007	Paraíba	Maio	0	01/01/2007"
"2008	Paraíba	Maio	0	01/01/2008"
"2009	Paraíba	Maio	0	01/01/2009"
"2010	Paraíba	Maio	10	01/01/2010"
"2011	Paraíba	Maio	0	01/01/2011"
"2012	Paraíba	Maio	10	01/01/2012"
"2013	Paraíba	Maio	3	01/01/2013"
"2014	Paraíba	Maio	1	01/01/2014"
"2015	Paraíba	Maio	6	01/01/2015"
"2016	Paraíba	Maio	1	01/01/2016"
"2017	Paraíba	Maio	1	01/01/2017"
"1998	Paraíba	Junho	3	01/01/1998"
"1999	Paraíba	Junho	1	01/01/1999"
"2000	Paraíba	Junho	2	01/01/2000"
"2001	Paraíba	Junho	0	01/01/2001"
"2002	Paraíba	Junho	1	01/01/2002"
"2003	Paraíba	Junho	0	01/01/2003"
"2004	Paraíba	Junho	0	01/01/2004"
"2005	Paraíba	Junho	0	01/01/2005"
"2006	Paraíba	Junho	0	01/01/2006"
"2007	Paraíba	Junho	0	01/01/2007"
"2008	Paraíba	Junho	0	01/01/2008"
"2009	Paraíba	Junho	0	01/01/2009"
"2010	Paraíba	Junho	3	01/01/2010"
"2011	Paraíba	Junho	2	01/01/2011"
"2012	Paraíba	Junho	5	01/01/2012"
"2013	Paraíba	Junho	3	01/01/2013"
"2014	Paraíba	Junho	1	01/01/2014"
"2015	Paraíba	Junho	0	01/01/2015"
"2016	Paraíba	Junho	4	01/01/2016"
"2017	Paraíba	Junho	0	01/01/2017"
"1998	Paraíba	Julho	0	01/01/1998"
"1999	Paraíba	Julho	1	01/01/1999"
"2000	Paraíba	Julho	0	01/01/2000"
"2001	Paraíba	Julho	8	01/01/2001"
"2002	Paraíba	Julho	8	01/01/2002"
"2003	Paraíba	Julho	6	01/01/2003"
"2004	Paraíba	Julho	1	01/01/2004"
"2005	Paraíba	Julho	0	01/01/2005"
"2006	Paraíba	Julho	1	01/01/2006"
"2007	Paraíba	Julho	1	01/01/2007"
"2008	Paraíba	Julho	0	01/01/2008"
"2009	Paraíba	Julho	3	01/01/2009"
"2010	Paraíba	Julho	7	01/01/2010"
"2011	Paraíba	Julho	6	01/01/2011"
"2012	Paraíba	Julho	5	01/01/2012"
"2013	Paraíba	Julho	1	01/01/2013"
"2014	Paraíba	Julho	9	01/01/2014"
"2015	Paraíba	Julho	3	01/01/2015"
"2016	Paraíba	Julho	22	01/01/2016"
"2017	Paraíba	Julho	2	01/01/2017"
"1998	Paraíba	Agosto	3	01/01/1998"
"1999	Paraíba	Agosto	4	01/01/1999"
"2000	Paraíba	Agosto	7	01/01/2000"
"2001	Paraíba	Agosto	34	01/01/2001"
"2002	Paraíba	Agosto	38	01/01/2002"
"2003	Paraíba	Agosto	14	01/01/2003"
"2004	Paraíba	Agosto	18	01/01/2004"
"2005	Paraíba	Agosto	0	01/01/2005"
"2006	Paraíba	Agosto	3	01/01/2006"
"2007	Paraíba	Agosto	8	01/01/2007"
"2008	Paraíba	Agosto	1	01/01/2008"
"2009	Paraíba	Agosto	4	01/01/2009"
"2010	Paraíba	Agosto	9	01/01/2010"
"2011	Paraíba	Agosto	12	01/01/2011"
"2012	Paraíba	Agosto	13	01/01/2012"
"2013	Paraíba	Agosto	3	01/01/2013"
"2014	Paraíba	Agosto	30	01/01/2014"
"2015	Paraíba	Agosto	5	01/01/2015"
"2016	Paraíba	Agosto	50	01/01/2016"
"2017	Paraíba	Agosto	3	01/01/2017"
"1998	Paraíba	Setembro	50	01/01/1998"
"1999	Paraíba	Setembro	14	01/01/1999"
"2000	Paraíba	Setembro	9	01/01/2000"
"2001	Paraíba	Setembro	98	01/01/2001"
"2002	Paraíba	Setembro	63	01/01/2002"
"2003	Paraíba	Setembro	81	01/01/2003"
"2004	Paraíba	Setembro	34	01/01/2004"
"2005	Paraíba	Setembro	13	01/01/2005"
"2006	Paraíba	Setembro	27	01/01/2006"
"2007	Paraíba	Setembro	22	01/01/2007"
"2008	Paraíba	Setembro	21	01/01/2008"
"2009	Paraíba	Setembro	28	01/01/2009"
"2010	Paraíba	Setembro	37	01/01/2010"
"2011	Paraíba	Setembro	55	01/01/2011"
"2012	Paraíba	Setembro	71	01/01/2012"
"2013	Paraíba	Setembro	25	01/01/2013"
"2014	Paraíba	Setembro	51	01/01/2014"
"2015	Paraíba	Setembro	48	01/01/2015"
"2016	Paraíba	Setembro	131	01/01/2016"
"2017	Paraíba	Setembro	30	01/01/2017"
"1998	Paraíba	Outubro	179	01/01/1998"
"1999	Paraíba	Outubro	48	01/01/1999"
"2000	Paraíba	Outubro	125	01/01/2000"
"2001	Paraíba	Outubro	279	01/01/2001"
"2002	Paraíba	Outubro	193	01/01/2002"
"2003	Paraíba	Outubro	381	01/01/2003"
"2004	Paraíba	Outubro	190	01/01/2004"
"2005	Paraíba	Outubro	155	01/01/2005"
"2006	Paraíba	Outubro	135	01/01/2006"
"2007	Paraíba	Outubro	111	01/01/2007"
"2008	Paraíba	Outubro	80	01/01/2008"
"2009	Paraíba	Outubro	117	01/01/2009"
"2010	Paraíba	Outubro	150	01/01/2010"
"2011	Paraíba	Outubro	200	01/01/2011"
"2012	Paraíba	Outubro	136	01/01/2012"
"2013	Paraíba	Outubro	58	01/01/2013"
"2014	Paraíba	Outubro	70	01/01/2014"
"2015	Paraíba	Outubro	121	01/01/2015"
"2016	Paraíba	Outubro	304	01/01/2016"
"2017	Paraíba	Outubro	123	01/01/2017"
"1998	Paraíba	Novembro	46	01/01/1998"
"1999	Paraíba	Novembro	38	01/01/1999"
"2000	Paraíba	Novembro	65	01/01/2000"
"2001	Paraíba	Novembro	294	01/01/2001"
"2002	Paraíba	Novembro	238	01/01/2002"
"2003	Paraíba	Novembro	538	01/01/2003"
"2004	Paraíba	Novembro	331	01/01/2004"
"2005	Paraíba	Novembro	280	01/01/2005"
"2006	Paraíba	Novembro	215	01/01/2006"
"2007	Paraíba	Novembro	256	01/01/2007"
"2008	Paraíba	Novembro	175	01/01/2008"
"2009	Paraíba	Novembro	428	01/01/2009"
"2010	Paraíba	Novembro	451	01/01/2010"
"2011	Paraíba	Novembro	359	01/01/2011"
"2012	Paraíba	Novembro	130	01/01/2012"
"2013	Paraíba	Novembro	95	01/01/2013"
"2014	Paraíba	Novembro	111	01/01/2014"
"2015	Paraíba	Novembro	206	01/01/2015"
"2016	Paraíba	Novembro	132	01/01/2016"
"2017	Paraíba	Novembro	101	01/01/2017"
"1998	Paraíba	Dezembro	51	01/01/1998"
"1999	Paraíba	Dezembro	40	01/01/1999"
"2000	Paraíba	Dezembro	34	01/01/2000"
"2001	Paraíba	Dezembro	70	01/01/2001"
"2002	Paraíba	Dezembro	163	01/01/2002"
"2003	Paraíba	Dezembro	288	01/01/2003"
"2004	Paraíba	Dezembro	351	01/01/2004"
"2005	Paraíba	Dezembro	159	01/01/2005"
"2006	Paraíba	Dezembro	196	01/01/2006"
"2007	Paraíba	Dezembro	133	01/01/2007"
"2008	Paraíba	Dezembro	187	01/01/2008"
"2009	Paraíba	Dezembro	270	01/01/2009"
"2010	Paraíba	Dezembro	65	01/01/2010"
"2011	Paraíba	Dezembro	179	01/01/2011"
"2012	Paraíba	Dezembro	62	01/01/2012"
"2013	Paraíba	Dezembro	78	01/01/2013"
"2014	Paraíba	Dezembro	62	01/01/2014"
"2015	Paraíba	Dezembro	122	01/01/2015"
"2016	Paraíba	Dezembro	8	01/01/2016"
"1998	Paraná	Janeiro	0	01/01/1998"
"1999	Paraná	Janeiro	7	01/01/1999"
"2000	Paraná	Janeiro	49	01/01/2000"
"2001	Paraná	Janeiro	32	01/01/2001"
"2002	Paraná	Janeiro	47	01/01/2002"
"2003	Paraná	Janeiro	109	01/01/2003"
"2004	Paraná	Janeiro	88	01/01/2004"
"2005	Paraná	Janeiro	55	01/01/2005"
"2006	Paraná	Janeiro	78	01/01/2006"
"2007	Paraná	Janeiro	11	01/01/2007"
"2008	Paraná	Janeiro	35	01/01/2008"
"2009	Paraná	Janeiro	35	01/01/2009"
"2010	Paraná	Janeiro	18	01/01/2010"
"2011	Paraná	Janeiro	35	01/01/2011"
"2012	Paraná	Janeiro	31	01/01/2012"
"2013	Paraná	Janeiro	28	01/01/2013"
"2014	Paraná	Janeiro	86	01/01/2014"
"2015	Paraná	Janeiro	120	01/01/2015"
"2016	Paraná	Janeiro	113	01/01/2016"
"2017	Paraná	Janeiro	55	01/01/2017"
"1998	Paraná	Fevereiro	0	01/01/1998"
"1999	Paraná	Fevereiro	22	01/01/1999"
"2000	Paraná	Fevereiro	67	01/01/2000"
"2001	Paraná	Fevereiro	8	01/01/2001"
"2002	Paraná	Fevereiro	24	01/01/2002"
"2003	Paraná	Fevereiro	46	01/01/2003"
"2004	Paraná	Fevereiro	42	01/01/2004"
"2005	Paraná	Fevereiro	77	01/01/2005"
"2006	Paraná	Fevereiro	60	01/01/2006"
"2007	Paraná	Fevereiro	32	01/01/2007"
"2008	Paraná	Fevereiro	38	01/01/2008"
"2009	Paraná	Fevereiro	21	01/01/2009"
"2010	Paraná	Fevereiro	46	01/01/2010"
"2011	Paraná	Fevereiro	8	01/01/2011"
"2012	Paraná	Fevereiro	40	01/01/2012"
"2013	Paraná	Fevereiro	9	01/01/2013"
"2014	Paraná	Fevereiro	52	01/01/2014"
"2015	Paraná	Fevereiro	58	01/01/2015"
"2016	Paraná	Fevereiro	31	01/01/2016"
"2017	Paraná	Fevereiro	60	01/01/2017"
"1998	Paraná	Março	0	01/01/1998"
"1999	Paraná	Março	40	01/01/1999"
"2000	Paraná	Março	52	01/01/2000"
"2001	Paraná	Março	12	01/01/2001"
"2002	Paraná	Março	18	01/01/2002"
"2003	Paraná	Março	76	01/01/2003"
"2004	Paraná	Março	83	01/01/2004"
"2005	Paraná	Março	84	01/01/2005"
"2006	Paraná	Março	56	01/01/2006"
"2007	Paraná	Março	54	01/01/2007"
"2008	Paraná	Março	43	01/01/2008"
"2009	Paraná	Março	57	01/01/2009"
"2010	Paraná	Março	22	01/01/2010"
"2011	Paraná	Março	21	01/01/2011"
"2012	Paraná	Março	55	01/01/2012"
"2013	Paraná	Março	18	01/01/2013"
"2014	Paraná	Março	42	01/01/2014"
"2015	Paraná	Março	55	01/01/2015"
"2016	Paraná	Março	63	01/01/2016"
"2017	Paraná	Março	43	01/01/2017"
"1998	Paraná	Abril	0	01/01/1998"
"1999	Paraná	Abril	39	01/01/1999"
"2000	Paraná	Abril	51	01/01/2000"
"2001	Paraná	Abril	43	01/01/2001"
"2002	Paraná	Abril	84	01/01/2002"
"2003	Paraná	Abril	130	01/01/2003"
"2004	Paraná	Abril	68	01/01/2004"
"2005	Paraná	Abril	22	01/01/2005"
"2006	Paraná	Abril	49	01/01/2006"
"2007	Paraná	Abril	14	01/01/2007"
"2008	Paraná	Abril	62	01/01/2008"
"2009	Paraná	Abril	80	01/01/2009"
"2010	Paraná	Abril	71	01/01/2010"
"2011	Paraná	Abril	38	01/01/2011"
"2012	Paraná	Abril	38	01/01/2012"
"2013	Paraná	Abril	72	01/01/2013"
"2014	Paraná	Abril	38	01/01/2014"
"2015	Paraná	Abril	83	01/01/2015"
"2016	Paraná	Abril	167	01/01/2016"
"2017	Paraná	Abril	77	01/01/2017"
"1998	Paraná	Maio	0	01/01/1998"
"1999	Paraná	Maio	57	01/01/1999"
"2000	Paraná	Maio	43	01/01/2000"
"2001	Paraná	Maio	26	01/01/2001"
"2002	Paraná	Maio	65	01/01/2002"
"2003	Paraná	Maio	115	01/01/2003"
"2004	Paraná	Maio	9	01/01/2004"
"2005	Paraná	Maio	125	01/01/2005"
"2006	Paraná	Maio	90	01/01/2006"
"2007	Paraná	Maio	14	01/01/2007"
"2008	Paraná	Maio	41	01/01/2008"
"2009	Paraná	Maio	117	01/01/2009"
"2010	Paraná	Maio	39	01/01/2010"
"2011	Paraná	Maio	97	01/01/2011"
"2012	Paraná	Maio	86	01/01/2012"
"2013	Paraná	Maio	85	01/01/2013"
"2014	Paraná	Maio	109	01/01/2014"
"2015	Paraná	Maio	77	01/01/2015"
"2016	Paraná	Maio	72	01/01/2016"
"2017	Paraná	Maio	49	01/01/2017"
"1998	Paraná	Junho	36	01/01/1998"
"1999	Paraná	Junho	31	01/01/1999"
"2000	Paraná	Junho	53	01/01/2000"
"2001	Paraná	Junho	43	01/01/2001"
"2002	Paraná	Junho	115	01/01/2002"
"2003	Paraná	Junho	159	01/01/2003"
"2004	Paraná	Junho	147	01/01/2004"
"2005	Paraná	Junho	114	01/01/2005"
"2006	Paraná	Junho	62	01/01/2006"
"2007	Paraná	Junho	57	01/01/2007"
"2008	Paraná	Junho	17	01/01/2008"
"2009	Paraná	Junho	105	01/01/2009"
"2010	Paraná	Junho	55	01/01/2010"
"2011	Paraná	Junho	162	01/01/2011"
"2012	Paraná	Junho	77	01/01/2012"
"2013	Paraná	Junho	52	01/01/2013"
"2014	Paraná	Junho	112	01/01/2014"
"2015	Paraná	Junho	201	01/01/2015"
"2016	Paraná	Junho	238	01/01/2016"
"2017	Paraná	Junho	169	01/01/2017"
"1998	Paraná	Julho	59	01/01/1998"
"1999	Paraná	Julho	94	01/01/1999"
"2000	Paraná	Julho	98	01/01/2000"
"2001	Paraná	Julho	122	01/01/2001"
"2002	Paraná	Julho	172	01/01/2002"
"2003	Paraná	Julho	101	01/01/2003"
"2004	Paraná	Julho	148	01/01/2004"
"2005	Paraná	Julho	155	01/01/2005"
"2006	Paraná	Julho	139	01/01/2006"
"2007	Paraná	Julho	60	01/01/2007"
"2008	Paraná	Julho	87	01/01/2008"
"2009	Paraná	Julho	34	01/01/2009"
"2010	Paraná	Julho	196	01/01/2010"
"2011	Paraná	Julho	262	01/01/2011"
"2012	Paraná	Julho	111	01/01/2012"
"2013	Paraná	Julho	168	01/01/2013"
"2014	Paraná	Julho	215	01/01/2014"
"2015	Paraná	Julho	137	01/01/2015"
"2016	Paraná	Julho	504	01/01/2016"
"2017	Paraná	Julho	891	01/01/2017"
"1998	Paraná	Agosto	42	01/01/1998"
"1999	Paraná	Agosto	938	01/01/1999"
"2000	Paraná	Agosto	849	01/01/2000"
"2001	Paraná	Agosto	342	01/01/2001"
"2002	Paraná	Agosto	1.593	01/01/2002"
"2003	Paraná	Agosto	1.896	01/01/2003"
"2004	Paraná	Agosto	1.237	01/01/2004"
"2005	Paraná	Agosto	800	01/01/2005"
"2006	Paraná	Agosto	844	01/01/2006"
"2007	Paraná	Agosto	580	01/01/2007"
"2008	Paraná	Agosto	205	01/01/2008"
"2009	Paraná	Agosto	844	01/01/2009"
"2010	Paraná	Agosto	733	01/01/2010"
"2011	Paraná	Agosto	435	01/01/2011"
"2012	Paraná	Agosto	522	01/01/2012"
"2013	Paraná	Agosto	481	01/01/2013"
"2014	Paraná	Agosto	646	01/01/2014"
"2015	Paraná	Agosto	651	01/01/2015"
"2016	Paraná	Agosto	1.010	01/01/2016"
"2017	Paraná	Agosto	987	01/01/2017"
"1998	Paraná	Setembro	61	01/01/1998"
"1999	Paraná	Setembro	878	01/01/1999"
"2000	Paraná	Setembro	381	01/01/2000"
"2001	Paraná	Setembro	258	01/01/2001"
"2002	Paraná	Setembro	1.071	01/01/2002"
"2003	Paraná	Setembro	2.446	01/01/2003"
"2004	Paraná	Setembro	1.360	01/01/2004"
"2005	Paraná	Setembro	386	01/01/2005"
"2006	Paraná	Setembro	866	01/01/2006"
"2007	Paraná	Setembro	960	01/01/2007"
"2008	Paraná	Setembro	413	01/01/2008"
"2009	Paraná	Setembro	149	01/01/2009"
"2010	Paraná	Setembro	270	01/01/2010"
"2011	Paraná	Setembro	913	01/01/2011"
"2012	Paraná	Setembro	459	01/01/2012"
"2013	Paraná	Setembro	476	01/01/2013"
"2014	Paraná	Setembro	443	01/01/2014"
"2015	Paraná	Setembro	599	01/01/2015"
"2016	Paraná	Setembro	1.371	01/01/2016"
"2017	Paraná	Setembro	1.706	01/01/2017"
"1998	Paraná	Outubro	61	01/01/1998"
"1999	Paraná	Outubro	452	01/01/1999"
"2000	Paraná	Outubro	658	01/01/2000"
"2001	Paraná	Outubro	209	01/01/2001"
"2002	Paraná	Outubro	399	01/01/2002"
"2003	Paraná	Outubro	1.228	01/01/2003"
"2004	Paraná	Outubro	666	01/01/2004"
"2005	Paraná	Outubro	157	01/01/2005"
"2006	Paraná	Outubro	327	01/01/2006"
"2007	Paraná	Outubro	194	01/01/2007"
"2008	Paraná	Outubro	78	01/01/2008"
"2009	Paraná	Outubro	424	01/01/2009"
"2010	Paraná	Outubro	230	01/01/2010"
"2011	Paraná	Outubro	256	01/01/2011"
"2012	Paraná	Outubro	145	01/01/2012"
"2013	Paraná	Outubro	233	01/01/2013"
"2014	Paraná	Outubro	411	01/01/2014"
"2015	Paraná	Outubro	158	01/01/2015"
"2016	Paraná	Outubro	193	01/01/2016"
"2017	Paraná	Outubro	134	01/01/2017"
"1998	Paraná	Novembro	143	01/01/1998"
"1999	Paraná	Novembro	447	01/01/1999"
"2000	Paraná	Novembro	85	01/01/2000"
"2001	Paraná	Novembro	89	01/01/2001"
"2002	Paraná	Novembro	425	01/01/2002"
"2003	Paraná	Novembro	503	01/01/2003"
"2004	Paraná	Novembro	388	01/01/2004"
"2005	Paraná	Novembro	597	01/01/2005"
"2006	Paraná	Novembro	60	01/01/2006"
"2007	Paraná	Novembro	59	01/01/2007"
"2008	Paraná	Novembro	39	01/01/2008"
"2009	Paraná	Novembro	90	01/01/2009"
"2010	Paraná	Novembro	183	01/01/2010"
"2011	Paraná	Novembro	138	01/01/2011"
"2012	Paraná	Novembro	142	01/01/2012"
"2013	Paraná	Novembro	126	01/01/2013"
"2014	Paraná	Novembro	68	01/01/2014"
"2015	Paraná	Novembro	18	01/01/2015"
"2016	Paraná	Novembro	275	01/01/2016"
"2017	Paraná	Novembro	292	01/01/2017"
"1998	Paraná	Dezembro	82	01/01/1998"
"1999	Paraná	Dezembro	254	01/01/1999"
"2000	Paraná	Dezembro	159	01/01/2000"
"2001	Paraná	Dezembro	85	01/01/2001"
"2002	Paraná	Dezembro	165	01/01/2002"
"2003	Paraná	Dezembro	171	01/01/2003"
"2004	Paraná	Dezembro	151	01/01/2004"
"2005	Paraná	Dezembro	40	01/01/2005"
"2006	Paraná	Dezembro	6	01/01/2006"
"2007	Paraná	Dezembro	22	01/01/2007"
"2008	Paraná	Dezembro	62	01/01/2008"
"2009	Paraná	Dezembro	30	01/01/2009"
"2010	Paraná	Dezembro	37	01/01/2010"
"2011	Paraná	Dezembro	78	01/01/2011"
"2012	Paraná	Dezembro	54	01/01/2012"
"2013	Paraná	Dezembro	155	01/01/2013"
"2014	Paraná	Dezembro	78	01/01/2014"
"2015	Paraná	Dezembro	30	01/01/2015"
"2016	Paraná	Dezembro	45	01/01/2016"
"1998	Pernambuco	Janeiro	0	01/01/1998"
"1999	Pernambuco	Janeiro	102	01/01/1999"
"2000	Pernambuco	Janeiro	3	01/01/2000"
"2001	Pernambuco	Janeiro	7	01/01/2001"
"2002	Pernambuco	Janeiro	10	01/01/2002"
"2003	Pernambuco	Janeiro	188	01/01/2003"
"2004	Pernambuco	Janeiro	29	01/01/2004"
"2005	Pernambuco	Janeiro	221	01/01/2005"
"2006	Pernambuco	Janeiro	148	01/01/2006"
"2007	Pernambuco	Janeiro	156	01/01/2007"
"2008	Pernambuco	Janeiro	170	01/01/2008"
"2009	Pernambuco	Janeiro	256	01/01/2009"
"2010	Pernambuco	Janeiro	47	01/01/2010"
"2011	Pernambuco	Janeiro	49	01/01/2011"
"2012	Pernambuco	Janeiro	146	01/01/2012"
"2013	Pernambuco	Janeiro	55	01/01/2013"
"2014	Pernambuco	Janeiro	99	01/01/2014"
"2015	Pernambuco	Janeiro	109	01/01/2015"
"2016	Pernambuco	Janeiro	24	01/01/2016"
"2017	Pernambuco	Janeiro	52	01/01/2017"
"1998	Pernambuco	Fevereiro	0	01/01/1998"
"1999	Pernambuco	Fevereiro	13	01/01/1999"
"2000	Pernambuco	Fevereiro	4	01/01/2000"
"2001	Pernambuco	Fevereiro	2	01/01/2001"
"2002	Pernambuco	Fevereiro	19	01/01/2002"
"2003	Pernambuco	Fevereiro	35	01/01/2003"
"2004	Pernambuco	Fevereiro	8	01/01/2004"
"2005	Pernambuco	Fevereiro	33	01/01/2005"
"2006	Pernambuco	Fevereiro	41	01/01/2006"
"2007	Pernambuco	Fevereiro	21	01/01/2007"
"2008	Pernambuco	Fevereiro	48	01/01/2008"
"2009	Pernambuco	Fevereiro	28	01/01/2009"
"2010	Pernambuco	Fevereiro	33	01/01/2010"
"2011	Pernambuco	Fevereiro	25	01/01/2011"
"2012	Pernambuco	Fevereiro	64	01/01/2012"
"2013	Pernambuco	Fevereiro	29	01/01/2013"
"2014	Pernambuco	Fevereiro	25	01/01/2014"
"2015	Pernambuco	Fevereiro	55	01/01/2015"
"2016	Pernambuco	Fevereiro	19	01/01/2016"
"2017	Pernambuco	Fevereiro	23	01/01/2017"
"1998	Pernambuco	Março	0	01/01/1998"
"1999	Pernambuco	Março	27	01/01/1999"
"2000	Pernambuco	Março	14	01/01/2000"
"2001	Pernambuco	Março	0	01/01/2001"
"2002	Pernambuco	Março	24	01/01/2002"
"2003	Pernambuco	Março	9	01/01/2003"
"2004	Pernambuco	Março	6	01/01/2004"
"2005	Pernambuco	Março	45	01/01/2005"
"2006	Pernambuco	Março	18	01/01/2006"
"2007	Pernambuco	Março	4	01/01/2007"
"2008	Pernambuco	Março	32	01/01/2008"
"2009	Pernambuco	Março	15	01/01/2009"
"2010	Pernambuco	Março	59	01/01/2010"
"2011	Pernambuco	Março	39	01/01/2011"
"2012	Pernambuco	Março	44	01/01/2012"
"2013	Pernambuco	Março	40	01/01/2013"
"2014	Pernambuco	Março	36	01/01/2014"
"2015	Pernambuco	Março	33	01/01/2015"
"2016	Pernambuco	Março	4	01/01/2016"
"2017	Pernambuco	Março	7	01/01/2017"
"1998	Pernambuco	Abril	0	01/01/1998"
"1999	Pernambuco	Abril	2	01/01/1999"
"2000	Pernambuco	Abril	1	01/01/2000"
"2001	Pernambuco	Abril	2	01/01/2001"
"2002	Pernambuco	Abril	5	01/01/2002"
"2003	Pernambuco	Abril	7	01/01/2003"
"2004	Pernambuco	Abril	5	01/01/2004"
"2005	Pernambuco	Abril	1	01/01/2005"
"2006	Pernambuco	Abril	2	01/01/2006"
"2007	Pernambuco	Abril	1	01/01/2007"
"2008	Pernambuco	Abril	5	01/01/2008"
"2009	Pernambuco	Abril	3	01/01/2009"
"2010	Pernambuco	Abril	2	01/01/2010"
"2011	Pernambuco	Abril	22	01/01/2011"
"2012	Pernambuco	Abril	46	01/01/2012"
"2013	Pernambuco	Abril	11	01/01/2013"
"2014	Pernambuco	Abril	10	01/01/2014"
"2015	Pernambuco	Abril	30	01/01/2015"
"2016	Pernambuco	Abril	8	01/01/2016"
"2017	Pernambuco	Abril	9	01/01/2017"
"1998	Pernambuco	Maio	0	01/01/1998"
"1999	Pernambuco	Maio	6	01/01/1999"
"2000	Pernambuco	Maio	7	01/01/2000"
"2001	Pernambuco	Maio	5	01/01/2001"
"2002	Pernambuco	Maio	13	01/01/2002"
"2003	Pernambuco	Maio	1	01/01/2003"
"2004	Pernambuco	Maio	2	01/01/2004"
"2005	Pernambuco	Maio	1	01/01/2005"
"2006	Pernambuco	Maio	1	01/01/2006"
"2007	Pernambuco	Maio	0	01/01/2007"
"2008	Pernambuco	Maio	0	01/01/2008"
"2009	Pernambuco	Maio	0	01/01/2009"
"2010	Pernambuco	Maio	8	01/01/2010"
"2011	Pernambuco	Maio	1	01/01/2011"
"2012	Pernambuco	Maio	36	01/01/2012"
"2013	Pernambuco	Maio	9	01/01/2013"
"2014	Pernambuco	Maio	4	01/01/2014"
"2015	Pernambuco	Maio	17	01/01/2015"
"2016	Pernambuco	Maio	6	01/01/2016"
"2017	Pernambuco	Maio	13	01/01/2017"
"1998	Pernambuco	Junho	1	01/01/1998"
"1999	Pernambuco	Junho	7	01/01/1999"
"2000	Pernambuco	Junho	4	01/01/2000"
"2001	Pernambuco	Junho	2	01/01/2001"
"2002	Pernambuco	Junho	1	01/01/2002"
"2003	Pernambuco	Junho	2	01/01/2003"
"2004	Pernambuco	Junho	4	01/01/2004"
"2005	Pernambuco	Junho	3	01/01/2005"
"2006	Pernambuco	Junho	0	01/01/2006"
"2007	Pernambuco	Junho	1	01/01/2007"
"2008	Pernambuco	Junho	0	01/01/2008"
"2009	Pernambuco	Junho	1	01/01/2009"
"2010	Pernambuco	Junho	1	01/01/2010"
"2011	Pernambuco	Junho	4	01/01/2011"
"2012	Pernambuco	Junho	12	01/01/2012"
"2013	Pernambuco	Junho	12	01/01/2013"
"2014	Pernambuco	Junho	3	01/01/2014"
"2015	Pernambuco	Junho	3	01/01/2015"
"2016	Pernambuco	Junho	4	01/01/2016"
"2017	Pernambuco	Junho	5	01/01/2017"
"1998	Pernambuco	Julho	5	01/01/1998"
"1999	Pernambuco	Julho	2	01/01/1999"
"2000	Pernambuco	Julho	0	01/01/2000"
"2001	Pernambuco	Julho	6	01/01/2001"
"2002	Pernambuco	Julho	8	01/01/2002"
"2003	Pernambuco	Julho	5	01/01/2003"
"2004	Pernambuco	Julho	13	01/01/2004"
"2005	Pernambuco	Julho	1	01/01/2005"
"2006	Pernambuco	Julho	1	01/01/2006"
"2007	Pernambuco	Julho	3	01/01/2007"
"2008	Pernambuco	Julho	0	01/01/2008"
"2009	Pernambuco	Julho	1	01/01/2009"
"2010	Pernambuco	Julho	7	01/01/2010"
"2011	Pernambuco	Julho	2	01/01/2011"
"2012	Pernambuco	Julho	11	01/01/2012"
"2013	Pernambuco	Julho	4	01/01/2013"
"2014	Pernambuco	Julho	11	01/01/2014"
"2015	Pernambuco	Julho	13	01/01/2015"
"2016	Pernambuco	Julho	17	01/01/2016"
"2017	Pernambuco	Julho	2	01/01/2017"
"1998	Pernambuco	Agosto	12	01/01/1998"
"1999	Pernambuco	Agosto	3	01/01/1999"
"2000	Pernambuco	Agosto	31	01/01/2000"
"2001	Pernambuco	Agosto	27	01/01/2001"
"2002	Pernambuco	Agosto	37	01/01/2002"
"2003	Pernambuco	Agosto	26	01/01/2003"
"2004	Pernambuco	Agosto	41	01/01/2004"
"2005	Pernambuco	Agosto	10	01/01/2005"
